poduct_category,Product Name,Link,Image,Price,product_description,tab_discription
digestives,Patanjali Pachak Jaljeera,https://www.patanjaliayurved.net/product/natural-health-care/digestives/patanjali-pachak-jaljeera/690,https://www.patanjaliayurved.net/assets/product_images/400x500/1690280967PachakJaljeera-200g1.png,81,patanjali pachak jal jeera helps cooling body antiacidic antiphlegmatic carminative digestive contains essential minerals beneficial body functions helps increasing digestive power acts refresher helps treating problems like amlapitta indigestion loss appetite laziness indian beverage served appetizer,benefitsingredientshow useother product infopatanjali pachak jal jeera helps cooling bodyit antiacidic antiphlegmatic carminative digestiveit helps increasing digestive powerit acts refresherit helps treating problems like amla pitta indigestion loss appetite lazinesscompositioneach g containspowders of amchur mangifera indica dr fr gsamudra lavan gsendha lavan gpudina gkala lavan gamchur gjeera gdhaniya gkali mirch gnousadar gchhoti peepal gsaunth glal mirch ghing gextract nimbu citric medica fr gg day directed physicianbest before months manufacturing date
digestives,Patanjali Pachak Hing Goli,https://www.patanjaliayurved.net/product/natural-health-care/digestives/patanjali-pachak-hing-goli/687,https://www.patanjaliayurved.net/assets/product_images/400x500/1690282985hinggoli100g1.png,71,patanjali pachak contain ajwain heeng fenugreek properties lemon healthy digestive system patanjali pachak digestive hing goli blending rich natural organic herbs spices right proportion cure problems like gas acidity constipation etc eat open heart digest patanjali pachak hing goli,benefitsingredientshow useother product infogoodness asafetida strengthen digestionbeneficial rid abdominal distensionfree effectspachak hing goli taken daily helps soothe common stomach ailments strengthen digestive systemcomposition each g containspowder samudra lavan gamchur gamla gkala lavan gchini gnausadar gkali mirch gharad gjeera gchhoti pipal gsaunth gajwain ghing bhuna gextract neembu sat g g twice day directed physicianbest before months manufacturing date
digestives,Patanjali Pachak Ajwain with Aloevera,https://www.patanjaliayurved.net/product/natural-health-care/digestives/patanjali-pachak-ajwain-with-aloevera/684,https://www.patanjaliayurved.net/assets/product_images/400x500/1691564457Digestive100g1.png,76,unique formulation patanjali pachak ajwain aloe vera combines medicinal prowess thymol oil soothing goodness aloe vera bring powerful digestive tabs fortified ginger powder bay leaf coriander naturopathic preparation great option daily digestive routine,benefitsingredientshow useother product infoit helpful fight bacteria fungiit helpful improve cholesterol levelsit helpful lower blood pressureit helpful combats peptic ulcers relieves indigestioncarom antiinflammatory effectscarom aloe vera antioxidant anti bacterial propertiescomposition g containswhole ajwain techyspermum ammi fr gpowder  samudra lavan sodii muras gjeera cumin cyminmum gdhaniya coriandrum sativum gneembu sat citrus medica kala lavan unaqua sodium chloride gkali mirch piper nigrum gnausadar ammonium chloride gsaunth zingiber officinale gtejpatta cinnamomum tamala gextract of neembu citrus medica fr gghritkumari aloe barbadensis lf qs g day directed physiciancautions consumed patients suffering hypertensionbest before months manufacturing date
digestives,Patanjali Pachak Hing Peda,https://www.patanjaliayurved.net/product/natural-health-care/digestives/patanjali-pachak-hing-peda/688,https://www.patanjaliayurved.net/assets/product_images/400x500/1690281076hingpeda100g1.png,52,patanjali pachak hing peda rich quality hing important herbs spices improves digestion system cure problems like gas acidity etc,benefitsingredientshow useother product infopachak hing peda stimulant digestive system activates enzymes acts appetizerthis useful gas flatulence nausea gastric distresseseach g containspowder ofchini saccharum officinarum st ganardana punica grantum sd gamchur mangifera indica drfr gjeera cuminum cyminum sd gsamudra lavan gdhaniya coriandrum sativum sd gkala lavan gkali mirch piper nigrum fr gdalchini cinnamomum zeylanicum bk gbadi elaichi amomum subulatum fr gsendha lavan gchhoti pipal piper longum rt ghing ferula foetida exudate gsaunf foeniculum vulgare sd ggulkand gextract neembu citrus medica fr g g twice day directed physicianbest before months manufacturing date
digestives,Pachak Shodhit Harad,https://www.patanjaliayurved.net/product/natural-health-care/digestives/pachak-shodhit-harad/693,https://www.patanjaliayurved.net/assets/product_images/400x500/1699008596PachakShodhitHarad100g1.png,43,pachak shodhit harad options patanjali natural health care digestive products range helps soothe common stomach ailments strengthen digestive system,benefitsingredientshow useother product infouseful indigestion abdominal distentionuseful constipation it neutralizes acidity prevents nauseait good joint pain gastric problem hair lossit good mouth ulcers urinary disorders help maintain migraine eye disorderspowder kala lavan unaqua sodium chloride gamchur magnifera indica gamla embelica officinalis gsamudra lavan sodi murasgchhoti harad terminalia chebula gnausadar ammonium chloride gjeera cuminum cyminum gneembu sat piper nigrumgkali mirch piper nigrumgajwain trachyspermum ammigchhoti peepal piper longum gextract ofneembu citrus medica fr g tablets twice day directed physicianbest before months manufacturing date
digestives,Patanjali Pachak Anardana,https://www.patanjaliayurved.net/product/natural-health-care/digestives/patanjali-pachak-anardana/685,https://www.patanjaliayurved.net/assets/product_images/400x500/1692437643PachakAnardanaGoli-100g1.png,43,patanjali pachak anardana goli best taste affluent health golis dried pomegranate seeds got proper blend sweet sour taste eat open heart digest patanjali pachak anardana goli,benefitsingredientshow useother product infopachak anardana goli improves digestioncure problems like gas acidity constipation etctasty effectiveno added colours preservative flavours usedno effectseach g containspowder chini saccharum officinarum st ganardana punica grantum sd gamchur mangifera indica drfr gjeera cuminum cyminum sd gsamudra lavan gdhaniya coriandrum sativum sd gkala lavan gkali mirch piper nigrum fr gdalchini cinnamomum zeylanicum bk gbadi elaichi amomum subulatum fr gsendha lavan gchhoti pipal piper longum rt gsaunf foeniculum vulgare sd ggulkand gextract neembu citrus medica fr g g twice day directed physiciancaution consumed patients suffering diabetesbest before months manufacturing date
digestives,DIGESTIVE HEALTH COMBO - PACHAK ANARDANA 100 gm+PACHAK HING GOLI 100 gm+PACHAK SHODHIT HARAD 100 gm+ PACHAK AJWAIN WITH ALOEVERA 100gm - Rs 30 Off,https://www.patanjaliayurved.net/product/natural-health-care/digestives/digestive-health-combo-pachak-anardana-100-gmpachak-hing-goli-100-gmpachak-shodhit-harad-100-gm-pachak-ajwain-with-aloevera-100gm-rs-30-off/3358,https://www.patanjaliayurved.net/assets/product_images/400x500/16889724571.png,245,digestive health combo pachak anardana gmpachak hing goli gmpachak shodhit harad gm pachak ajwain aloevera gmget rs wallet,product infobest days manufacturing date
health-and-wellness,Patanjali Kesar,https://www.patanjaliayurved.net/product/natural-health-care/health-and-wellness/patanjali-kesar/818,https://www.patanjaliayurved.net/assets/product_images/400x500/1690957608PatanjaliKesar1g1.png,310,patanjali kesarsaffronis spice derived flower crocus sativus known saffron crocus mainly seasoning coloring agent food,benefitsingredientshow useother product infoit powerful antioxidant improve mood treat depressive symptoms act aphrodisiac saffron highly beneficial radiant skinsaffron help glowing skin saffron antioxidants beneficial contending free radicals helps prevention diseases promotion healthsaffron good digestion presence multiple medicinal compounds anticonvulsant presence minerals cooper potassium calcium manganese iron magnesium zinc selenium promotes optimum health saffron enhance mens vitalitysaffronmg styles twice day warm milk directed physicianbest before months manufacturing date
health-and-wellness,Patanjali Moosli Pak,https://www.patanjaliayurved.net/product/natural-health-care/health-and-wellness/patanjali-moosli-pak/826,https://www.patanjaliayurved.net/assets/product_images/400x500/1690955764MoosliPak-200gm1.png,500,patanjali moosli pak ayurvedic formulation specifically designed enhance physical strength serve nourishing tonic formulation effectively boosts stamina strength duration overall performance men packet patanjali moosli pak typically contains combination ofsafed moosli sonth peepal marich badi elaichi dalchini tezpata shatavar chitrakmool gokhru ashgandh harad lavang jayphal jaavtri talakhana khareti konch semal gond kamalgatta vanshlochan akarkara makardhwaj bang bhasm additionally utilized addressing general weakness promoting weight gain notably sportsmen india rely product enhance endurance overall performance,benefitsingredientshow useother product infoit useful restoring physical strength acts nourishing tonic famous aphrodisiac benefits good mens health problems patanjali cow ghee improves stamina strengthcompositioneach g containspowders safed moosli asparagus adscendens rt gsonth zingiber officinale rtrzgpeepal piper longum fr gmarich piper nigrum gbadi elaichi amomum subulatum fr gdalchini cinnamomum zeylanicum st gtezptra cinnamomum tamala lf gshatavar asparagus racemosus rt gchitrakmool plumbago zeylanica rt ggokhru tribulus terestris rt gashgandhwithania somnifera rt gharad terminalia chebula glavang syzygium aromaticus gjayphal myristica fragrans fr gjaavtri myristica fragrans sd gtalakhana hygrophila spinosa sd gkharetisida cordifolia sd gkonch mucuna prurita sd gsemal gondbombax malabaricum stbk gkamalgattanymphaea stellata fi gvanshlochanbambusa arundinacia sc gakarkara anacyclus pyrethrum rt gchini saccharum officinarum st gmakardhwaj gbang bhasm gghee g gm twice day morning evening preferably milk water directed physicianbest before months manufacturing date
health-and-wellness,Divya Shilajeet Drops,https://www.patanjaliayurved.net/product/natural-health-care/health-and-wellness/divya-shilajeet-drops/3535,https://www.patanjaliayurved.net/assets/product_images/400x500/1691565755ShilajeetDrops30ml1.png,125,divya shilajeet drop improves immunity gives relief cough cold helps improve respiratory health improves stamina endurance,benefitsingredientshow useother product infoimproves immunityrelief cough coldhelps improve respiratory healthimproves stamina endurancedry extract kaunch beej mucuna pruriens seed mggokharu chhota tribulus terrestris fruit mgashwagandha withania somnifera root mgsafed musali chlorophytum arundinaceum root mgvidarikand ipomoea digitata tubers mgakarkara anacyclus pyrethrum plant mgjaiphal myristica fragrans seed mgmethi trigonella foenumgraecum seed mggiloy tinospora cordifolia stem mgcoffee coffea arabica seed mg kali mirch piper nigrum fruit mgshewal haematococcus pluvialis plant mgdried powder ofshilajit purified asphaltum punjabianum mineral mgkeshar crocus sativus stigma mgfine powder ofvang bhasma mgrajat bhasma mgabharak bhasma mg swarn bhasma mgexcipients as ippropyl gallatetalc colloidal silicon dioxidtake drops divya shilajeet drops glass water tea times day directed physiscianbest days manufacturing date
